Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
4873,13.536111,0.994938,-0.063615,-0.077381,0.007992,-3.737096,0.910152,-2.350894,0.000000,-3.620144,0.899149,-2.255468,0.832757,-3.649364,0.899635,-2.475152,0.842806,-3.580102,0.894287,-2.370730,0.869152,-3.905072,0.927080,-2.256853,0.889265,-3.930799,0.930610,-2.396268,0.732335,-3.620144,0.899149,-2.255468,-3.649364,0.899635,-2.475152,-3.580102,0.894287,-2.370730,-3.905072,0.927080,-2.256853,-3.930799,0.930610,-2.396268,,,
4874,13.538889,0.008311,-0.059710,0.037281,-0.997485,-3.737131,0.910524,-2.347525,0.000000,-3.650266,0.900232,-2.471031,0.843538,-3.619060,0.900081,-2.251620,0.838132,-3.580683,0.894049,-2.370870,0.844742,-3.924017,0.930033,-2.392683,0.908754,-3.911628,0.928224,-2.251424,0.715562,-3.650266,0.900232,-2.471031,-3.619060,0.900081,-2.251620,-3.580683,0.894049,-2.370870,-3.924017,0.930033,-2.392683,-3.911628,0.928224,-2.251424,,,
4875,13.541667,0.008302,-0.059444,0.037289,-0.997500,-3.737179,0.910188,-2.344541,0.000000,-3.650248,0.899895,-2.468000,0.884241,-3.619159,0.899744,-2.248573,0.840281,-3.580719,0.893711,-2.367803,0.873139,-3.924041,0.929699,-2.389798,0.928302,-3.911727,0.927890,-2.248532,0.769332,-3.650248,0.899895,-2.468000,-3.619159,0.899744,-2.248573,-3.580719,0.893711,-2.367803,-3.924041,0.929699,-2.389798,-3.911727,0.927890,-2.248532,,,
4876,13.544444,0.009872,-0.059522,0.037063,-0.997490,-3.737270,0.910426,-2.341341,0.000000,-3.650367,0.899805,-2.464792,0.868859,-3.619217,0.900354,-2.245374,0.858242,-3.580805,0.893976,-2.364595,0.892344,-3.924156,0.929678,-2.386606,0.926520,-3.911802,0.928315,-2.245339,0.765845,-3.650367,0.899805,-2.464792,-3.619217,0.900354,-2.245374,-3.580805,0.893976,-2.364595,-3.924156,0.929678,-2.386606,-3.911802,0.928315,-2.245339,,,
4877,13.547222,0.011058,-0.059904,0.037501,-0.997438,-3.737392,0.910611,-2.337954,0.000000,-3.650602,0.899631,-2.461452,0.873912,-3.619266,0.900681,-2.242063,0.880286,-3.580960,0.893990,-2.361300,0.877738,-3.924303,0.929894,-2.383106,0.924722,-3.911830,0.928860,-2.241847,0.725418,-3.650602,0.899631,-2.461452,-3.619266,0.900681,-2.242063,-3.580960,0.893990,-2.361300,-3.924303,0.929894,-2.383106,-3.911830,0.928860,-2.241847,,,
4878,13.550000,0.008418,-0.059509,0.036723,-0.997517,-3.737372,0.910302,-2.334945,0.000000,-3.650448,0.900089,-2.458415,0.890776,-3.619327,0.900008,-2.238992,0.875282,-3.580897,0.894001,-2.358226,0.886936,-3.924263,0.929593,-2.380177,0.925984,-3.911927,0.927821,-2.238914,0.714134,-3.650448,0.900089,-2.458415,-3.619327,0.900008,-2.238992,-3.580897,0.894001,-2.358226,-3.924263,0.929593,-2.380177,-3.911927,0.927821,-2.238914,,,
4879,13.552778,0.008735,-0.059271,0.037575,-0.997496,-3.737410,0.910158,-2.331784,0.000000,-3.650445,0.899707,-2.455207,0.875103,-3.619426,0.899740,-2.235770,0.845238,-3.580950,0.893579,-2.354981,0.894639,-3.924247,0.929724,-2.377118,0.926629,-3.911979,0.928038,-2.235847,0.719663,-3.650445,0.899707,-2.455207,-3.619426,0.899740,-2.235770,-3.580950,0.893579,-2.354981,-3.924247,0.929724,-2.377118,-3.911979,0.928038,-2.235847,,,
4880,13.555556,0.010596,-0.059861,0.038306,-0.997415,-3.737637,0.910477,-2.328752,0.000000,-3.650848,0.899454,-2.452248,0.866952,-3.619540,0.900272,-2.232854,0.837010,-3.581230,0.893615,-2.352092,0.874360,-3.924510,0.930108,-2.373914,0.933343,-3.912058,0.928937,-2.232654,0.731789,-3.650848,0.899454,-2.452248,-3.619540,0.900272,-2.232854,-3.581230,0.893615,-2.352092,-3.924510,0.930108,-2.373914,-3.912058,0.928937,-2.232654,,,
4881,13.558333,0.008180,-0.059361,0.039134,-0.997436,-3.737468,0.910224,-2.325513,0.000000,-3.650551,0.899612,-2.448955,0.896524,-3.619507,0.899342,-2.229522,0.860681,-3.581064,0.893170,-2.348744,0.859593,-3.924247,0.930428,-2.370807,0.942503,-3.911968,0.928571,-2.229539,0.743838,-3.650551,0.899612,-2.448955,-3.619507,0.899342,-2.229522,-3.581064,0.893170,-2.348744,-3.924247,0.930428,-2.370807,-3.911968,0.928571,-2.229539,,,
4882,13.561111,0.009567,-0.059267,0.038747,-0.997444,-3.737512,0.910004,-2.322424,0.000000,-3.650576,0.899137,-2.445831,0.859430,-3.619548,0.899495,-2.226395,0.862799,-3.581091,0.893033,-2.345597,0.884212,-3.924307,0.929908,-2.367786,0.935938,-3.912036,0.928449,-2.226512,0.754713,-3.650576,0.899137,-2.445831,-3.619548,0.899495,-2.226395,-3.581091,0.893033,-2.345597,-3.924307,0.929908,-2.367786,-3.912036,0.928449,-2.226512,,,
4883,13.563889,0.009337,-0.059477,0.037483,-0.997482,-3.737478,0.910507,-2.319124,0.000000,-3.650567,0.899933,-2.442574,0.842573,-3.619447,0.900231,-2.223152,0.873441,-3.581025,0.893940,-2.342374,0.853038,-3.924341,0.929973,-2.364396,0.916078,-3.912007,0.928456,-2.223128,0.706003,-3.650567,0.899933,-2.442574,-3.619447,0.900231,-2.223152,-3.581025,0.893940,-2.342374,-3.924341,0.929973,-2.364396,-3.912007,0.928456,-2.223128,,,
4884,13.566667,0.009802,-0.059179,0.036613,-0.997528,-3.737540,0.910115,-2.316034,0.000000,-3.650543,0.899594,-2.439427,0.843846,-3.619545,0.900133,-2.219988,0.854903,-3.581045,0.893811,-2.339183,0.893136,-3.924413,0.929208,-2.361424,0.909575,-3.912155,0.927832,-2.220149,0.717034,-3.650543,0.899594,-2.439427,-3.619544,0.900133,-2.219988,-3.581045,0.893811,-2.339183,-3.924413,0.929208,-2.361424,-3.912155,0.927832,-2.220149,,,
4885,13.569444,0.011430,-0.059573,0.037985,-0.997436,-3.737393,0.910706,-2.312821,0.000000,-3.650533,0.899545,-2.436255,0.873609,-3.619337,0.900747,-2.216846,0.857992,-3.580961,0.893923,-2.336054,0.889016,-3.924257,0.930123,-2.358109,0.918196,-3.911875,0.929194,-2.216841,0.719861,-3.650533,0.899545,-2.436255,-3.619337,0.900747,-2.216846,-3.580961,0.893923,-2.336054,-3.924257,0.930123,-2.358109,-3.911875,0.929194,-2.216841,,,
4886,13.572222,0.009707,-0.059274,0.037938,-0.997473,-3.737492,0.910502,-2.309745,0.000000,-3.650543,0.899754,-2.433153,0.864693,-3.619507,0.900203,-2.213719,0.854206,-3.581044,0.893782,-2.332921,0.871847,-3.924320,0.930093,-2.355104,0.924800,-3.912043,0.928679,-2.213831,0.731663,-3.650543,0.899754,-2.433153,-3.619507,0.900203,-2.213719,-3.581044,0.893782,-2.332921,-3.924320,0.930093,-2.355104,-3.912043,0.928679,-2.213831,,,
4887,13.575000,0.009198,-0.058331,0.037473,-0.997551,-3.737425,0.910753,-2.306429,0.000000,-3.650229,0.900205,-2.429680,0.841729,-3.619616,0.900462,-2.210186,0.843906,-3.580918,0.894195,-2.329320,0.854528,-3.924183,0.930222,-2.352127,0.921048,-3.912176,0.928678,-2.210832,0.725941,-3.650229,0.900205,-2.429680,-3.619616,0.900462,-2.210186,-3.580918,0.894195,-2.329320,-3.924183,0.930222,-2.352127,-3.912176,0.928678,-2.210832,,,
4888,13.577778,0.008174,-0.059558,0.037609,-0.997483,-3.737526,0.910518,-2.303578,0.000000,-3.650629,0.900196,-2.427058,0.855126,-3.619493,0.899975,-2.207638,0.855864,-3.581082,0.893944,-2.326877,0.888236,-3.924385,0.930162,-2.348790,0.927705,-3.912042,0.928314,-2.207528,0.745208,-3.650629,0.900196,-2.427058,-3.619493,0.899975,-2.207638,-3.581082,0.893944,-2.326877,-3.924385,0.930162,-2.348790,-3.912042,0.928314,-2.207528,,,
4889,13.580556,0.007705,-0.059345,0.036931,-0.997524,-3.737674,0.910839,-2.300401,0.000000,-3.650707,0.900753,-2.423852,0.857406,-3.619671,0.900354,-2.204418,0.840133,-3.581198,0.894492,-2.323646,0.871382,-3.924538,0.930285,-2.345679,0.924178,-3.912256,0.928311,-2.204413,0.718671,-3.650707,0.900753,-2.423852,-3.619671,0.900354,-2.204418,-3.581198,0.894492,-2.323646,-3.924538,0.930285,-2.345679,-3.912256,0.928311,-2.204413,,,
4890,13.583333,0.995057,-0.062471,-0.076733,0.008451,-3.737434,0.910085,-2.297240,0.000000,-3.620574,0.899437,-2.201661,0.845815,-3.649524,0.899674,-2.421381,0.833396,-3.580378,0.894576,-2.316869,0.890754,-3.905566,0.926691,-2.203420,0.915603,-3.931129,0.930046,-2.342869,0.704751,-3.620574,0.899437,-2.201661,-3.649524,0.899674,-2.421381,-3.580378,0.894576,-2.316869,-3.905566,0.926691,-2.203420,-3.931129,0.930046,-2.342869,,,
4891,13.586111,0.008775,-0.058963,0.037864,-0.997503,-3.737619,0.910795,-2.293882,0.000000,-3.650584,0.900279,-2.417249,0.839743,-3.619700,0.900324,-2.197793,0.817542,-3.581155,0.894125,-2.316979,0.843118,-3.924417,0.930462,-2.339334,0.917889,-3.912237,0.928788,-2.198055,0.720690,-3.650584,0.900279,-2.417249,-3.619700,0.900324,-2.197793,-3.581155,0.894125,-2.316979,-3.924417,0.930462,-2.339334,-3.912237,0.928788,-2.198055,,,
4892,13.588889,0.010074,-0.059275,0.037778,-0.997476,-3.737702,0.910285,-2.290951,0.000000,-3.650754,0.899480,-2.414354,0.872874,-3.619711,0.900097,-2.194921,0.830680,-3.581250,0.893605,-2.314120,0.899246,-3.924540,0.929776,-2.336318,0.912772,-3.912257,0.928467,-2.195044,0.723063,-3.650754,0.899480,-2.414354,-3.619711,0.900097,-2.194921,-3.581250,0.893605,-2.314120,-3.924540,0.929776,-2.336318,-3.912257,0.928467,-2.195044,,,
4893,13.591667,0.010445,-0.059185,0.036359,-0.997530,-3.737652,0.910371,-2.287784,0.000000,-3.650656,0.899745,-2.411170,0.858375,-3.619644,0.900578,-2.191733,0.838309,-3.581149,0.894128,-2.310923,0.880464,-3.924539,0.929297,-2.333185,0.942495,-3.912270,0.928105,-2.191910,0.716186,-3.650656,0.899745,-2.411170,-3.619644,0.900578,-2.191733,-3.581149,0.894128,-2.310923,-3.924539,0.929297,-2.333185,-3.912270,0.928105,-2.191910,,,
4894,13.594444,0.010579,-0.059094,0.038689,-0.997446,-3.737646,0.910565,-2.284475,0.000000,-3.650675,0.899468,-2.407837,0.827689,-3.619705,0.900278,-2.188394,0.842485,-3.581215,0.893584,-2.307572,0.855124,-3.924433,0.930332,-2.329927,0.903595,-3.912200,0.929161,-2.188648,0.723171,-3.650675,0.899468,-2.407837,-3.619705,0.900278,-2.188394,-3.581215,0.893584,-2.307572,-3.924433,0.930332,-2.329927,-3.912200,0.929161,-2.188648,,,
4895,13.597222,0.011468,-0.058743,0.037344,-0.997508,-3.737627,0.910567,-2.281261,0.000000,-3.650550,0.899511,-2.404551,0.848859,-3.619717,0.900768,-2.185091,0.857990,-3.581135,0.893986,-2.304235,0.895661,-3.924442,0.929736,-2.326859,0.914539,-3.912292,0.928832,-2.185570,0.716016,-3.650550,0.899511,-2.404551,-3.619717,0.900768,-2.185091,-3.581135,0.893986,-2.304235,-3.924442,0.929736,-2.326859,-3.912292,0.928832,-2.185570,,,
4896,13.600000,0.013374,-0.060011,0.036885,-0.997426,-3.737702,0.910501,-2.278241,0.000000,-3.650945,0.899091,-2.401724,0.863985,-3.619523,0.901184,-2.182354,0.806833,-3.581254,0.894009,-2.301576,0.906643,-3.924660,0.929299,-2.323405,0.931540,-3.912129,0.928924,-2.182148,0.764679,-3.650945,0.899091,-2.401724,-3.619523,0.901184,-2.182354,-3.581254,0.894009,-2.301576,-3.924660,0.929299,-2.323405,-3.912129,0.928924,-2.182148,,,
4897,13.602778,0.012084,-0.059494,0.036111,-0.997502,-3.737752,0.910740,-2.275077,0.000000,-3.650841,0.899776,-2.398493,0.894525,-3.619666,0.901336,-2.179083,0.842416,-3.581255,0.894529,-2.298281,0.897870,-3.924686,0.929393,-2.320400,0.908147,-3.912312,0.928664,-2.179130,0.709888,-3.650841,0.899776,-2.398493,-3.619666,0.901336,-2.179083,-3.581255,0.894529,-2.298281,-3.924686,0.929393,-2.320400,-3.912312,0.928664,-2.179130,,,
4898,13.605556,0.995037,-0.062246,-0.076883,0.010795,-3.737499,0.910485,-2.271788,0.000000,-3.620573,0.900372,-2.176231,0.872828,-3.649654,0.899573,-2.395931,0.821911,-3.580442,0.895012,-2.291439,0.870915,-3.905587,0.927389,-2.177944,0.947045,-3.931236,0.930081,-2.317392,0.725459,-3.620573,0.900372,-2.176231,-3.649654,0.899573,-2.395931,-3.580442,0.895012,-2.291439,-3.905587,0.927389,-2.177944,-3.931236,0.930081,-2.317392,,,
4899,13.608333,0.011730,-0.058845,0.037443,-0.997496,-3.737718,0.910701,-2.268454,0.000000,-3.650670,0.899566,-2.391757,0.889099,-3.619787,0.900932,-2.172305,0.843387,-3.581234,0.894082,-2.291453,0.848673,-3.924539,0.929878,-2.314020,0.940105,-3.912358,0.929046,-2.172734,0.774533,-3.650670,0.899566,-2.391757,-3.619787,0.900932,-2.172305,-3.581234,0.894082,-2.291453,-3.924539,0.929878,-2.314020,-3.912358,0.929046,-2.172734,,,
4900,13.611111,0.012409,-0.059101,0.037445,-0.997472,-3.737741,0.910485,-2.265244,0.000000,-3.650762,0.899191,-2.388582,0.853766,-3.619756,0.900853,-2.169149,0.825702,-3.581269,0.893845,-2.288311,0.889713,-3.924589,0.929588,-2.310731,0.928997,-3.912328,0.928946,-2.169451,0.722016,-3.650762,0.899191,-2.388582,-3.619756,0.900853,-2.169149,-3.581269,0.893845,-2.288311,-3.924589,0.929588,-2.310731,-3.912328,0.928946,-2.169451,,,
4901,13.613889,0.010941,-0.059314,0.036760,-0.997502,-3.737741,0.910770,-2.262380,0.000000,-3.650789,0.899953,-2.385779,0.844737,-3.619713,0.900988,-2.166353,0.833658,-3.581257,0.894387,-2.285547,0.910224,-3.924627,0.929789,-2.307747,0.911485,-3.912319,0.928733,-2.166474,0.734137,-3.650789,0.899953,-2.385779,-3.619713,0.900988,-2.166353,-3.581257,0.894387,-2.285547,-3.924627,0.929789,-2.307747,-3.912319,0.928733,-2.166474,,,
4902,13.616667,0.010027,-0.058873,0.036317,-0.997554,-3.737702,0.910706,-2.258943,0.000000,-3.650626,0.900185,-2.382280,0.852954,-3.619757,0.900840,-2.162823,0.819901,-3.581183,0.894489,-2.281993,0.835829,-3.924560,0.929661,-2.304452,0.926689,-3.912385,0.928355,-2.163169,0.718180,-3.650626,0.900185,-2.382281,-3.619757,0.900840,-2.162823,-3.581183,0.894489,-2.281993,-3.924560,0.929661,-2.304452,-3.912385,0.928355,-2.163169,,,
4903,13.619444,0.009694,-0.059210,0.038105,-0.997471,-3.737725,0.910490,-2.255717,0.000000,-3.650764,0.899713,-2.379114,0.855388,-3.619756,0.900151,-2.159675,0.815572,-3.581280,0.893718,-2.278872,0.895898,-3.924541,0.930143,-2.301100,0.933513,-3.912282,0.928725,-2.159826,0.724569,-3.650764,0.899713,-2.379114,-3.619756,0.900151,-2.159675,-3.581280,0.893718,-2.278872,-3.924541,0.930143,-2.301100,-3.912282,0.928725,-2.159826,,,
4904,13.622222,0.011372,-0.059302,0.036777,-0.997498,-3.737671,0.910664,-2.252678,0.000000,-3.650720,0.899742,-2.376069,0.864860,-3.619642,0.900967,-2.156644,0.795894,-3.581187,0.894264,-2.275832,0.868332,-3.924558,0.929641,-2.298060,0.916342,-3.912248,0.928707,-2.156786,0.740125,-3.650720,0.899742,-2.376069,-3.619642,0.900967,-2.156644,-3.581187,0.894264,-2.275832,-3.924558,0.929641,-2.298060,-3.912248,0.928707,-2.156786,,,
4905,13.625000,0.004782,-0.058504,0.034517,-0.997679,-3.737895,0.910913,-2.249429,0.000000,-3.650655,0.901966,-2.372774,0.864178,-3.620025,0.900375,-2.153288,0.854027,-3.581304,0.895409,-2.272476,0.893758,-3.924760,0.929794,-2.294940,0.926127,-3.912733,0.927019,-2.153666,0.729890,-3.650655,0.901966,-2.372774,-3.620025,0.900375,-2.153288,-3.581304,0.895409,-2.272476,-3.924760,0.929794,-2.294940,-3.912733,0.927019,-2.153666,,,
4906,13.627778,0.008061,-0.060057,0.039112,-0.997396,-3.737889,0.910782,-2.246300,0.000000,-3.651143,0.900207,-2.369865,0.864178,-3.619795,0.899873,-2.150475,0.854027,-3.581518,0.893736,-2.269752,0.893758,-3.924731,0.930995,-2.291329,0.926127,-3.912256,0.929097,-2.150079,0.729890,-3.651143,0.900207,-2.369865,-3.619795,0.899873,-2.150475,-3.581518,0.893736,-2.269752,-3.924731,0.930995,-2.291329,-3.912256,0.929097,-2.150079,,,
4907,13.630556,0.007108,-0.058974,0.036412,-0.997570,-3.738010,0.910805,-2.243191,0.000000,-3.650937,0.900956,-2.366586,0.841427,-3.620071,0.900317,-2.147128,0.794103,-3.581499,0.894639,-2.266332,0.877387,-3.924857,0.930125,-2.288590,0.907821,-3.912684,0.927990,-2.147317,0.710568,-3.650937,0.900956,-2.366586,-3.620071,0.900317,-2.147128,-3.581499,0.894639,-2.266332,-3.924857,0.930125,-2.288590,-3.912684,0.927990,-2.147317,,,
4908,13.633333,0.008865,-0.058950,0.036515,-0.997554,-3.737804,0.911124,-2.239969,0.000000,-3.650741,0.900840,-2.363335,0.884164,-3.619858,0.900973,-2.143879,0.825213,-3.581295,0.894876,-2.263066,0.900352,-3.924655,0.930284,-2.285421,0.922274,-3.912471,0.928645,-2.144142,0.724339,-3.650741,0.900840,-2.363335,-3.619858,0.900973,-2.143879,-3.581295,0.894876,-2.263066,-3.924655,0.930284,-2.285421,-3.912471,0.928645,-2.144142,,,
4909,13.636111,0.007145,-0.059632,0.036955,-0.997511,-3.737855,0.910877,-2.236893,0.000000,-3.650955,0.900921,-2.360401,0.857563,-3.619802,0.900268,-2.140984,0.844862,-3.581393,0.894538,-2.260239,0.845266,-3.924740,0.930397,-2.282048,0.924888,-3.912384,0.928261,-2.140791,0.757955,-3.650955,0.900921,-2.360401,-3.619802,0.900268,-2.140984,-3.581393,0.894538,-2.260239,-3.924740,0.930397,-2.282048,-3.912384,0.928261,-2.140791,,,
4910,13.638889,0.008436,-0.059425,0.036203,-0.997540,-3.737712,0.910820,-2.233841,0.000000,-3.650757,0.900699,-2.357298,0.863518,-3.619672,0.900647,-2.137870,0.847903,-3.581216,0.894682,-2.257098,0.892599,-3.924616,0.929917,-2.279103,0.930588,-3.912300,0.928154,-2.137837,0.720773,-3.650757,0.900699,-2.357298,-3.619672,0.900647,-2.137870,-3.581216,0.894682,-2.257098,-3.924615,0.929917,-2.279103,-3.912300,0.928154,-2.137837,,,
4911,13.641667,0.008306,-0.058458,0.037098,-0.997566,-3.737796,0.911121,-2.230428,0.000000,-3.650618,0.900856,-2.353715,0.873163,-3.619962,0.900730,-2.134227,0.856564,-3.581283,0.894706,-2.253380,0.886986,-3.924576,0.930555,-2.276055,0.922432,-3.912540,0.928759,-2.134765,0.725365,-3.650618,0.900856,-2.353715,-3.619962,0.900730,-2.134227,-3.581283,0.894706,-2.253380,-3.924576,0.930555,-2.276055,-3.912540,0.928759,-2.134765,,,
4912,13.644444,0.008282,-0.059873,0.037994,-0.997448,-3.737717,0.911181,-2.227394,0.000000,-3.650906,0.900763,-2.350927,0.863045,-3.619631,0.900570,-2.131527,0.842483,-3.581300,0.894482,-2.250788,0.863152,-3.924589,0.930957,-2.272493,0.927126,-3.912158,0.929132,-2.131238,0.759163,-3.650906,0.900763,-2.350927,-3.619631,0.900570,-2.131527,-3.581300,0.894482,-2.250788,-3.924589,0.930957,-2.272493,-3.912158,0.929132,-2.131238,,,
4913,13.647222,0.005620,-0.058796,0.035986,-0.997605,-3.737800,0.911048,-2.224405,0.000000,-3.650664,0.901629,-2.347789,0.843961,-3.619899,0.900351,-2.128320,0.852322,-3.581268,0.895058,-2.247523,0.885022,-3.924639,0.930377,-2.269833,0.909298,-3.912530,0.927826,-2.128561,0.715697,-3.650664,0.901629,-2.347789,-3.619899,0.900351,-2.128320,-3.581268,0.895058,-2.247523,-3.924639,0.930377,-2.269833,-3.912530,0.927826,-2.128561,,,
4914,13.650000,-0.994872,0.064164,0.077216,-0.012281,-3.737623,0.910602,-2.221070,0.000000,-3.620654,0.900373,-2.125578,0.869410,-3.649922,0.898973,-2.345251,0.838637,-3.580640,0.894498,-2.240802,0.854444,-3.905571,0.928416,-2.127143,0.910955,-3.931327,0.930752,-2.266577,0.728537,-3.620654,0.900373,-2.125578,-3.649922,0.898973,-2.345251,-3.580640,0.894498,-2.240802,-3.905571,0.928416,-2.127143,-3.931327,0.930752,-2.266577,,,
4915,13.652778,0.009091,-0.059415,0.038743,-0.997440,-3.737651,0.910565,-2.217913,0.000000,-3.650748,0.899812,-2.341353,0.864208,-3.619663,0.899957,-2.121925,0.868085,-3.581237,0.893608,-2.241143,0.856951,-3.924457,0.930523,-2.263207,0.937674,-3.912150,0.928927,-2.121939,0.716137,-3.650748,0.899812,-2.341353,-3.619663,0.899957,-2.121925,-3.581237,0.893608,-2.241143,-3.924457,0.930523,-2.263207,-3.912150,0.928927,-2.121939,,,
4916,13.655556,0.009473,-0.059611,0.038511,-0.997434,-3.737627,0.910724,-2.215091,0.000000,-3.650771,0.899925,-2.338560,0.846593,-3.619592,0.900244,-2.119145,0.808311,-3.581214,0.893828,-2.238375,0.862732,-3.924462,0.930554,-2.260320,0.897894,-3.912094,0.929066,-2.119056,0.710316,-3.650771,0.899925,-2.338560,-3.619592,0.900244,-2.119145,-3.581214,0.893828,-2.238375,-3.924462,0.930554,-2.260320,-3.912094,0.929066,-2.119056,,,
4917,13.658333,0.009962,-0.059186,0.036961,-0.997513,-3.737659,0.910602,-2.211956,0.000000,-3.650672,0.899977,-2.335347,0.852571,-3.619668,0.900575,-2.115909,0.850616,-3.581176,0.894183,-2.235103,0.888944,-3.924520,0.929804,-2.257349,0.919980,-3.912260,0.928470,-2.116073,0.744212,-3.650672,0.899977,-2.335347,-3.619668,0.900575,-2.115909,-3.581176,0.894183,-2.235103,-3.924520,0.929804,-2.257349,-3.912260,0.928470,-2.116073,,,
4918,13.661111,0.008623,-0.059411,0.038489,-0.997454,-3.737736,0.910873,-2.208741,0.000000,-3.650823,0.900278,-2.332187,0.860825,-3.619746,0.900226,-2.112758,0.846728,-3.581313,0.894009,-2.231980,0.859784,-3.924549,0.930790,-2.254024,0.921239,-3.912247,0.929063,-2.112756,0.716302,-3.650823,0.900278,-2.332187,-3.619746,0.900226,-2.112758,-3.581313,0.894009,-2.231980,-3.924549,0.930790,-2.254024,-3.912247,0.929063,-2.112756,,,
4919,13.663889,0.008880,-0.058663,0.037897,-0.997519,-3.737711,0.910705,-2.205472,0.000000,-3.650604,0.900156,-2.328785,0.821607,-3.619850,0.900251,-2.109310,0.835577,-3.581234,0.894022,-2.228473,0.886217,-3.924482,0.930370,-2.251039,0.916856,-3.912385,0.928728,-2.109753,0.720859,-3.650604,0.900156,-2.328785,-3.619850,0.900251,-2.109310,-3.581234,0.894022,-2.228473,-3.924482,0.930370,-2.251039,-3.912385,0.928728,-2.109753,,,
4920,13.666667,0.011828,-0.059300,0.038515,-0.997427,-3.737763,0.910900,-2.202556,0.000000,-3.650850,0.899543,-2.325935,0.830837,-3.619768,0.900906,-2.106511,0.873182,-3.581336,0.893939,-2.225692,0.879756,-3.924584,0.930464,-2.247961,0.940528,-3.912278,0.929647,-2.106685,0.731517,-3.650850,0.899543,-2.325935,-3.619768,0.900906,-2.106511,-3.581336,0.893939,-2.225692,-3.924584,0.930464,-2.247961,-3.912278,0.929647,-2.106685,,,
4921,13.669444,0.009056,-0.059085,0.036908,-0.997529,-3.737767,0.910859,-2.199284,0.000000,-3.650746,0.900457,-2.322671,0.878575,-3.619801,0.900659,-2.103223,0.860718,-3.581277,0.894482,-2.222418,0.851373,-3.924615,0.930143,-2.244693,0.955668,-3.912393,0.928555,-2.103416,0.744618,-3.650746,0.900457,-2.322671,-3.619801,0.900659,-2.103223,-3.581277,0.894482,-2.222418,-3.924615,0.930143,-2.244693,-3.912393,0.928555,-2.103416,,,
4922,13.672222,0.010001,-0.059670,0.038169,-0.997438,-3.737612,0.910504,-2.196006,0.000000,-3.650769,0.899646,-2.319478,0.853863,-3.619554,0.900209,-2.100070,0.854846,-3.581191,0.893702,-2.219299,0.891208,-3.924469,0.930150,-2.241224,0.917547,-3.912077,0.928814,-2.099960,0.709368,-3.650769,0.899646,-2.319478,-3.619554,0.900209,-2.100070,-3.581191,0.893702,-2.219299,-3.924469,0.930150,-2.241224,-3.912077,0.928814,-2.099960,,,
4923,13.675000,0.008313,-0.058954,0.038620,-0.997479,-3.737724,0.910615,-2.192788,0.000000,-3.650698,0.900065,-2.316158,0.832625,-3.619828,0.899879,-2.096700,0.872658,-3.581285,0.893719,-2.215889,0.875444,-3.924488,0.930611,-2.238235,0.942811,-3.912320,0.928800,-2.096957,0.771969,-3.650698,0.900065,-2.316158,-3.619828,0.899879,-2.096700,-3.581285,0.893719,-2.215889,-3.924488,0.930611,-2.238235,-3.912320,0.928800,-2.096957,,,
